"_id","timestamp","eventName","transactionId","userId","trackingIds","runAs","objectId","operation","before","after","changedFields","revision","component","realm"
"43af64c2-6da0-4771-8b2a-215b1c410143-34","2019-12-09T07:02:09.160Z","AM-CONFIG-CHANGE","43af64c2-6da0-4771-8b2a-215b1c410143-2",,,"id=dsameuser,ou=user,dc=openam,dc=forgerock,dc=org","ou=https://localhost:8443/openam,ou=com-sun-identity-servers,ou=default,ou=GlobalConfig,ou=1.0,ou=iPlanetAMPlatformService,ou=services,dc=openam,dc=forgerock,dc=org","UPDATE",,,"[""sunKeyValue""]",,,
"43af64c2-6da0-4771-8b2a-215b1c410143-36","2019-12-09T07:02:09.370Z","AM-CONFIG-CHANGE","43af64c2-6da0-4771-8b2a-215b1c410143-2",,,"id=dsameuser,ou=user,dc=openam,dc=forgerock,dc=org","ou=https://localhost:8443/openam,ou=com-sun-identity-servers,ou=default,ou=GlobalConfig,ou=1.0,ou=iPlanetAMPlatformService,ou=services,dc=openam,dc=forgerock,dc=org","UPDATE",,,"[""sunKeyValue""]",,,
"43af64c2-6da0-4771-8b2a-215b1c410143-38","2019-12-09T07:02:09.483Z","AM-CONFIG-CHANGE","43af64c2-6da0-4771-8b2a-215b1c410143-2",,,"id=dsameuser,ou=user,dc=openam,dc=forgerock,dc=org","ou=iPlanetAMWebAgentService,ou=registeredApplications,ou=default,ou=OrganizationConfig,ou=1.0,ou=sunEntitlementService,ou=services,dc=openam,dc=forgerock,dc=org","UPDATE",,,"[""ou"",""sunKeyValue"",""sunserviceID"",""sunxmlKeyValue"",""objectclass""]",,,"/"
"43af64c2-6da0-4771-8b2a-215b1c410143-40","2019-12-09T07:02:09.516Z","AM-CONFIG-CHANGE","43af64c2-6da0-4771-8b2a-215b1c410143-2",,,"id=dsameuser,ou=user,dc=openam,dc=forgerock,dc=org","ou=sunAMDelegationService,ou=registeredApplications,ou=default,ou=OrganizationConfig,ou=1.0,ou=sunEntitlementService,ou=services,dc=openam,dc=forgerock,dc=org","UPDATE",,,"[""objectclass"",""sunxmlKeyValue"",""sunserviceID"",""ou"",""sunKeyValue""]",,,"/"
