"_id","timestamp","eventName","transactionId","userId","trackingIds","result","principal","context","entries","component","realm"
"43af64c2-6da0-4771-8b2a-215b1c410143-59","2019-12-09T07:02:22.900Z","AM-LOGIN-MODULE-COMPLETED","43af64c2-6da0-4771-8b2a-215b1c410143-57","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","SUCCESSFUL","[""amadmin""]",,"[{""moduleId"":""DataStore"",""info"":{""authControlFlag"":""REQUIRED"",""moduleClass"":""DataStore"",""ipAddress"":""172.17.0.1"",""authLevel"":""0""}}]","Authentication","/"
"43af64c2-6da0-4771-8b2a-215b1c410143-63","2019-12-09T07:02:22.983Z","AM-LOGIN-COMPLETED","43af64c2-6da0-4771-8b2a-215b1c410143-57","id=amadmin,ou=user,dc=openam,dc=forgerock,dc=org","[""3984878e762bde9f01""]","SUCCESSFUL","[""amadmin""]",,"[{""moduleId"":""DataStore"",""info"":{""ipAddress"":""172.17.0.1"",""authLevel"":""0""}}]","Authentication","/"
